Year,Average Temperature Â°C
1990,0.5825510100119946
1991,0.3174037627126973
1992,0.280593095342401
1993,0.25607918327940665
1994,0.59378677095774
1995,0.6058220101239327
1996,0.29802986866497916
1997,0.595208321852919
1998,0.9497462373918664
1999,0.7275419047330854
2000,0.7078360552148119
2001,0.7988888544405691
2002,0.9286247936440977
2003,0.8795308299334845
2004,0.7912089239543716
2005,0.847296734554385
2006,0.900289026957875
2007,0.9870627341040571
2008,0.8233835688730425
2009,0.9381868655313098
2010,1.040928689412259
2011,0.8571959458211905
2012,0.8806608956649719
2013,0.9586821096310723
2014,1.1307128667781752
2015,1.3267944537814667
2016,1.3933682331645825
2017,1.271187896887523
2018,1.3059038977871993
2019,1.4691365791348836
2020,1.5030588287476339
